zipcode,county,hhs-income1,hhs-income2,hhs-income3,hhs-income4,hhs-income5,hhs-income6,hhs-income7,hhs-income8
93206,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93215,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93220,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93224,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93241,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93249,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93250,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93251,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93252,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93263,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93268,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93276,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93280,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93301,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93302,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93303,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93304,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93305,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93306,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93307,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93308,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93309,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93311,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93312,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93313,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93314,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93380,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93381,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93383,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93384,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93385,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93386,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93387,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93388,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93389,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93390,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93518,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93561,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93620,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93635,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93665,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95301,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95303,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95312,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95315,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95317,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
