tract,region,eligible,CFA
6019002701,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6037621324,Southern,FALSE,
6019005801,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6059063008,Southern,FALSE,
6001425102,Northern,FALSE,
6097151311,Northern,FALSE,
6081601603,Northern,FALSE,
6001423901,Northern,FALSE,
6085507203,Northern,FALSE,
6085507004,Northern,FALSE,
6085506701,Northern,FALSE,
6019003102,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019001202,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6085509109,Northern,FALSE,
6075033001,Northern,FALSE,
6075020402,Northern,FALSE,
6019001201,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019002904,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6075012902,Northern,FALSE,
6075030101,Northern,FALSE,
6019002702,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6001424001,Northern,FALSE,
6075020701,Northern,FALSE,
6085511916,Northern,FALSE,
6019005202,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6097153811,Northern,FALSE,
6001423902,Northern,FALSE,
6075010702,Northern,FALSE,
6059042325,Southern,FALSE,
6085509401,Northern,FALSE,
6097151701,Northern,FALSE,
6085507701,Northern,FALSE,
6085506803,Northern,FALSE,
6097150609,Northern,FALSE,
6085504509,Northern,FALSE,
6059099245,Southern,FALSE,
6001440338,Northern,FALSE,
6081605300,Northern,FALSE,
6085502202,Northern,FALSE,
6085509107,Northern,FALSE,
6081612900,Northern,FALSE,
6075047902,Northern,FALSE,
6001408000,Northern,FALSE,
6001427200,Northern,FALSE,
6001427700,Northern,FALSE,
6001428100,Northern,FALSE,
6001428700,Northern,FALSE,
6001430400,Northern,FALSE,
6001440305,Northern,FALSE,
6001441921,Northern,FALSE,
6013352101,Northern,FALSE,
6013359202,Northern,FALSE,
6013360102,Northern,FALSE,
6013380001,Northern,FALSE,
6013385200,Northern,FALSE,
6013980000,Northern,TRUE,"Refinery corridor along the Sac river, Richmond, Antioch"
6017030404,Northern,FALSE,
6017032002,Northern,FALSE,
6025012001,Southern,TRUE,"Imperial Valley - Salton Sea, El Centro, Brawley, Calexico"
6037143401,Southern,FALSE,
